*it=141000 cost=0.5558447241783142 creg=0.18062150955200196
(0.59209999999999996, 0.98470000000000002, 0.99980000000000002)
(0.58450000000000002, 0.97960000000000003, 0.99950000000000006)
*it=142000 cost=0.5252401828765869 creg=0.1796719741821289
(0.62050000000000005, 0.9859, 0.99960000000000004)
(0.61109999999999998, 0.98299999999999998, 0.99929999999999997)
*it=143000 cost=0.5393820405006409 creg=0.17875846862792968
(0.60240000000000005, 0.98509999999999998, 0.99950000000000006)
(0.5887, 0.98089999999999999, 0.99919999999999998)
*it=144000 cost=0.5094220638275146 creg=0.17781774520874025
(0.62570000000000003, 0.98809999999999998, 0.99990000000000001)
(0.59909999999999997, 0.98380000000000001, 0.99970000000000003)
*it=145000 cost=0.5110200047492981 creg=0.17690074920654297
(0.62549999999999994, 0.9879, 0.99970000000000003)
(0.60440000000000005, 0.98240000000000005, 0.999)
*it=146000 cost=0.5174416303634644 creg=0.1759919548034668
(0.61760000000000004, 0.98699999999999999, 0.99970000000000003)
(0.60760000000000003, 0.9829, 0.99890000000000001)
*it=147000 cost=0.5243018865585327 creg=0.17508800506591798
(0.61550000000000005, 0.98540000000000005, 0.99960000000000004)
(0.59519999999999995, 0.97770000000000001, 0.99909999999999999)
*it=148000 cost=0.5153810381889343 creg=0.17418554306030273
(0.63190000000000002, 0.98660000000000003, 0.99919999999999998)
(0.60819999999999996, 0.98409999999999997, 0.99929999999999997)
*it=149000 cost=0.5406838059425354 creg=0.1732942008972168
(0.60319999999999996, 0.98499999999999999, 0.99960000000000004)
(0.57989999999999997, 0.97850000000000004, 0.99909999999999999)
*it=150000 cost=0.5146979689598083 creg=0.17240234375
(0.61380000000000001, 0.98680000000000001, 0.99960000000000004)
(0.60199999999999998, 0.98370000000000002, 0.99929999999999997)
*it=151000 cost=0.5112525224685669 creg=0.1715317726135254
(0.61950000000000005, 0.9869, 0.99980000000000002)
(0.60129999999999995, 0.98280000000000001, 0.99950000000000006)
*it=152000 cost=0.5229027271270752 creg=0.17065467834472656
(0.61550000000000005, 0.98509999999999998, 1.0)
(0.59540000000000004, 0.98299999999999998, 0.99909999999999999)
*it=153000 cost=0.5001288652420044 creg=0.1697907829284668
(0.62670000000000003, 0.98850000000000005, 1.0)
(0.59809999999999997, 0.98419999999999996, 0.99939999999999996)
*it=154000 cost=0.5076530575752258 creg=0.1689289665222168
(0.62090000000000001, 0.98560000000000003, 0.99950000000000006)
(0.61439999999999995, 0.98240000000000005, 0.99919999999999998)
*it=155000 cost=0.51296466588974 creg=0.1680588912963867
(0.60970000000000002, 0.9879, 1.0)
(0.60029999999999994, 0.98119999999999996, 0.99939999999999996)
*it=156000 cost=0.49170631170272827 creg=0.16720170974731446
(0.63600000000000001, 0.98860000000000003, 0.99980000000000002)
(0.6099, 0.98550000000000004, 0.99960000000000004)
