*it=0 cost=2.4620866775512695 creg=0.7562957763671876
*it=144000 cost=0.45436468720436096 creg=0.12808986902236938
(0.62570000000000003, 0.98950000000000005, 1.0)
(0.5786, 0.98260000000000003, 0.99960000000000004)
*it=145000 cost=0.41082197427749634 creg=0.12693159580230715
(0.65980000000000005, 0.99339999999999995, 0.99990000000000001)
(0.62570000000000003, 0.98540000000000005, 0.99890000000000001)
*it=146000 cost=0.4305197298526764 creg=0.12584551572799682
(0.6411, 0.99180000000000001, 0.99990000000000001)
(0.62090000000000001, 0.9849, 0.99929999999999997)
*it=147000 cost=0.46368858218193054 creg=0.12476446628570557
(0.61560000000000004, 0.98750000000000004, 0.99970000000000003)
(0.5867, 0.98229999999999995, 0.99939999999999996)
*it=148000 cost=0.41347160935401917 creg=0.12369242906570435
(0.66120000000000001, 0.99209999999999998, 0.99929999999999997)
(0.62470000000000003, 0.98829999999999996, 0.99970000000000003)
*it=149000 cost=0.4361112117767334 creg=0.1226683259010315
(0.63619999999999999, 0.99109999999999998, 0.99960000000000004)
(0.60880000000000001, 0.98180000000000001, 0.99919999999999998)
*it=150000 cost=0.45151931047439575 creg=0.1216357707977295
(0.62139999999999995, 0.99039999999999995, 0.99990000000000001)
(0.59060000000000001, 0.98480000000000001, 0.99939999999999996)
*it=151000 cost=0.41537046432495117 creg=0.12066918611526489
(0.65010000000000001, 0.99199999999999999, 0.99990000000000001)
(0.61739999999999995, 0.98580000000000001, 0.99960000000000004)
*it=152000 cost=0.42418134212493896 creg=0.11967134475708008
(0.64249999999999996, 0.99170000000000003, 1.0)
(0.60699999999999998, 0.98619999999999997, 0.99950000000000006)
*it=153000 cost=0.42392194271087646 creg=0.1187059760093689
(0.64190000000000003, 0.99139999999999995, 1.0)
(0.60950000000000004, 0.98370000000000002, 0.99950000000000006)
*it=154000 cost=0.4234066605567932 creg=0.11774190664291383
(0.64039999999999997, 0.99119999999999997, 0.99970000000000003)
